time_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,raw_pitch,kalman_pitch
6.8285,0.050295410156250005,0.55803955078125,11.30688720703125,13.244274809160306,-128.5267175572519,1.083969465648855,-0.25,2.28
6.8446,0.07424560546875,0.74006103515625,11.927197265625,-5.67175572519084,-122.87786259541984,3.816793893129771,-0.36,0.24
6.8609,-0.47181884765625004,0.10059082031250001,11.93438232421875,-15.259541984732824,-138.26717557251908,-2.0076335877862594,2.26,-1.86
6.8752,0.15328125,0.28261230468750004,10.73208251953125,-16.0381679389313,-145.87022900763358,-6.175572519083969,-0.82,-3.84
6.8898,0.12214599609375,0.028740234375,9.81239501953125,-12.793893129770993,-140.59541984732823,0.3816793893129771,-0.71,-5.7
6.9043,0.7280859375000001,-0.11256591796875001,9.350156250000001,-4.99236641221374,-113.96946564885496,-3.549618320610687,-4.45,-7.25
6.921,1.24541015625,0.1580712890625,8.899892578125,2.595419847328244,-99.10687022900764,-1.7633587786259541,-7.96,-8.89
6.9357,1.22625,-0.09101074218750001,9.860295410156251,3.6793893129770994,-108.93893129770993,1.213740458015267,-7.09,-10.37
6.9506,1.4897021484375002,0.21315673828125,10.981164550781251,-5.572519083969466,-154.14503816793894,-1.4885496183206106,-7.72,-12.48
6.9677,3.08478515625,0.24908203125,10.9164990234375,-18.458015267175572,-176.0229007633588,5.0534351145038165,-15.78,-15.52
6.9833,2.91473876953125,-0.28261230468750004,9.723779296875,-24.442748091603054,-147.6030534351145,6.854961832061068,-16.68,-17.79
7.0,2.8261230468750003,-0.29458740234375,8.420888671875,-15.198473282442748,-82.45038167938931,5.122137404580153,-18.54,-19.15
7.0175,2.85486328125,-0.086220703125,8.4927392578125,-2.7480916030534353,-73.48091603053435,-5.267175572519084,-18.58,-20.38
7.0328,3.84879638671875,0.0718505859375,9.17531982421875,0.7633587786259542,-95.6793893129771,-7.938931297709924,-22.76,-21.89
7.0483,4.26073974609375,0.16525634765625,9.206455078125,1.9236641221374047,-118.29770992366412,-3.931297709923664,-24.83,-23.79
7.0676,3.8583764648437504,0.24908203125,8.880732421875,4.511450381679389,-131.0,1.099236641221374,-23.48,-26.21
7.0829,4.33259033203125,0.15088623046875002,8.84001708984375,7.6183206106870225,-136.35114503816794,-0.8702290076335878,-26.11,-28.22
7.1003,5.240302734375001,0.03113525390625,8.332272949218751,13.587786259541986,-99.70229007633588,0.1984732824427481,-32.17,-30.06
7.1158,5.206772460937501,0.21555175781250002,8.7993017578125,15.305343511450381,-71.62595419847328,-2.099236641221374,-30.61,-31.16
7.1311,4.7469287109375005,0.045505371093750004,9.141789550781251,13.488549618320612,-66.89312977099236,-4.656488549618321,-27.44,-31.99
7.1486,5.266647949218751,0.17962646484375,8.82085693359375,9.587786259541986,-77.22137404580153,-5.2748091603053435,-30.83,-33.25
7.1655,5.0534912109375005,0.2442919921875,8.15983154296875,11.526717557251908,-71.58778625954199,-4.709923664122138,-31.76,-34.36
7.183,5.048701171875,0.15088623046875002,8.62925537109375,12.404580152671755,-56.900763358778626,-8.083969465648854,-30.33,-35.15
7.1985,5.51572998046875,0.1149609375,9.263935546875,6.870229007633588,-65.82442748091603,-15.198473282442748,-30.77,-35.94
7.2138,6.84736083984375,0.14130615234375002,8.02092041015625,6.374045801526718,-84.06870229007633,-14.595419847328245,-40.48,-37.37
7.2313,6.785090332031251,0.6658154296875001,7.33833984375,13.801526717557252,-88.61068702290076,-2.618320610687023,-42.64,-39.07
7.247,5.221142578125,0.0718505859375,7.51317626953125,13.83206106870229,-62.94656488549618,-1.534351145038168,-34.8,-39.85
7.2624,6.104904785156251,0.28261230468750004,8.0999560546875,9.244274809160306,-54.52671755725191,-8.755725190839694,-36.99,-40.53
7.28,6.64617919921875,0.24189697265625001,7.7454931640625,6.145038167938932,-60.42748091603053,-5.893129770992366,-40.62,-41.55
7.2955,6.619833984375,0.08382568359375,7.582631835937501,2.1297709923664123,-73.33587786259542,-7.145038167938932,-41.12,-42.62
7.3111,7.2616992187500005,0.17962646484375,7.280859375,-0.061068702290076333,-89.72519083969466,-7.442748091603053,-44.92,-44.06
7.3298,7.673642578125,0.21315673828125,7.043752441406251,1.2748091603053435,-109.32824427480917,-13.473282442748092,-47.44,-46.15
7.3452,8.5597998046875,0.6466552734375001,6.68928955078125,5.66412213740458,-110.55725190839695,-15.13740458015267,-51.86,-48.02
7.3604,7.788603515625001,0.5412744140625,6.02347412109375,14.549618320610687,-93.52671755725191,-3.3969465648854964,-52.17,-49.56
7.3777,7.2616992187500005,0.47660888671875,6.9096313476562505,12.427480916030534,-96.03053435114504,-4.847328244274809,-46.36,-51.02
7.3931,7.2377490234375,0.55324951171875,6.95274169921875,8.13740458015267,-103.19083969465649,-6.175572519083969,-46.06,-52.33
7.4084,7.7478881835937505,0.7041357421875001,6.47373779296875,5.106870229007634,-84.32824427480917,-11.145038167938932,-49.95,-53.46
7.4258,7.8796142578125,0.7711962890625,6.444997558593751,5.190839694656488,-56.58015267175573,-19.732824427480917,-50.52,-54.28
7.441,8.078400878906251,0.680185546875,5.34328857421875,4.8320610687022905,-66.70992366412214,-19.572519083969464,-56.31,-55.32
7.4565,8.03529052734375,0.7664062500000001,4.5744873046875005,10.038167938931299,-84.44274809160305,-11.229007633587786,-60.0,-56.77
