time_s,ax,ay,az,pitch,roll,yaw
2.7638,-16272,2792,-1264,79.33,114.36,21.72
2.7797,-15652,2592,-2252,77.63,130.98,21.61
2.7925,-15364,2932,-2444,76.05,129.81,21.54
2.8050,-15216,3096,-2740,74.80,131.51,21.54
2.8174,-14156,2412,-2308,76.73,133.74,21.48
2.8301,-16552,2532,-284,81.25,96.40,21.31
2.8425,-16236,2352,-24,81.76,90.58,21.14
2.8568,-17016,2112,688,82.56,71.96,20.90
2.8693,-17524,2136,676,82.71,72.44,20.69
2.8820,-17724,2448,796,81.74,71.99,20.50
2.8945,-17216,2404,748,81.68,72.72,20.35
2.9068,-16704,2372,1244,80.89,62.33,20.27
2.9194,-15688,2640,2088,77.89,51.66,20.22
2.9319,-14968,2880,732,78.77,75.74,20.09
2.9492,-15012,2308,3556,74.23,32.99,19.68
2.9617,-16536,2116,3200,76.94,33.47,19.23
2.9745,-17664,1520,6164,70.23,13.85,18.70
2.9870,-16072,992,7292,65.40,7.75,18.20
2.9996,-15008,1248,5904,68.10,11.94,17.76
3.0121,-13824,2068,5768,66.09,19.72,17.37
3.0263,-12820,2104,6024,63.54,19.25,16.95
3.0390,-13512,1440,7728,59.81,10.56,16.52
3.0515,-13892,1296,9376,55.73,7.87,16.03
3.0638,-13344,1276,8920,55.97,8.14,15.50
3.0759,-13768,1208,9568,54.99,7.20,14.93
3.0877,-12872,924,9688,52.91,5.45,14.36
3.0998,-12268,1032,10612,49.01,5.55,13.72
3.1152,-11548,1212,11104,45.95,6.23,12.89
3.1277,-10096,748,13536,36.68,3.16,12.24
3.1401,-8860,292,14460,31.49,1.16,11.50
3.1522,-10788,648,14596,36.44,2.54,10.72
3.1646,-10728,604,13824,37.79,2.50,9.94
3.1765,-9456,988,12748,36.48,4.43,9.23
3.1888,-8344,1100,13024,32.55,4.83,8.62
3.2022,-5948,268,15532,20.95,0.99,8.05
3.2145,-3764,-8,16872,12.58,-0.03,7.48
3.2267,-3344,144,16188,11.67,0.51,6.83
3.2385,-3080,468,15796,11.03,1.70,6.18
3.2504,-3584,992,14916,13.48,3.80,5.54
3.2625,-2404,1272,14644,9.29,4.96,4.97
3.2742,188,300,15400,-0.70,1.12,4.47
3.2857,1072,452,15292,-4.01,1.69,3.97
3.2984,1208,580,15968,-4.32,2.08,3.45
3.3100,2188,252,16416,-7.59,0.88,3.04
3.3214,3200,248,15388,-11.75,0.92,2.66
3.3336,2972,828,14660,-11.44,3.23,2.31
3.3453,3976,432,15204,-14.65,1.63,2.01
3.3570,5084,268,15596,-18.05,0.98,1.68
3.3690,4692,60,16272,-16.08,0.21,1.30
3.3809,6016,-452,17456,-19.01,-1.48,0.88
3.3943,5344,68,16716,-17.73,0.23,0.41
3.4062,5096,324,16060,-17.60,1.16,0.03
3.4184,6012,396,15076,-21.73,1.50,-0.32
3.4302,6260,692,14700,-23.04,2.70,-0.64
3.4421,6868,980,14512,-25.28,3.86,-0.93
3.4543,8452,688,15076,-29.25,2.61,-1.25
3.4663,8284,268,15980,-27.40,0.96,-1.62
3.4782,7320,192,17524,-22.67,0.63,-1.99
3.4918,6712,1276,15460,-23.40,4.72,-2.28
3.5038,5356,2320,15056,-19.37,8.76,-2.26
3.5161,11268,1336,6944,-57.89,10.89,-2.26
3.5281,12380,516,12532,-44.63,2.36,-2.45
3.5402,12172,384,14140,-40.71,1.56,-2.76
3.5522,11556,668,12324,-43.12,3.10,-3.18
3.5641,11580,824,13908,-39.73,3.39,-3.66
3.5759,11448,992,12764,-41.80,4.44,-4.15
3.5896,11048,1536,10184,-47.01,8.58,-4.64
3.6015,12644,1832,7576,-58.35,13.59,-5.04
3.6139,13168,2024,8260,-57.14,13.77,-5.40
3.6260,13196,2168,8660,-55.92,14.05,-5.74
3.6383,14936,1800,9212,-57.85,11.06,-6.11
3.6504,14720,1608,9380,-57.12,9.73,-6.59
3.6624,13352,1924,9596,-53.76,11.34,-7.17
3.6802,14856,2524,5132,-68.94,26.19,-7.89
3.6927,15256,2572,5756,-67.55,24.08,-8.33
3.7051,15564,2652,6412,-65.97,22.47,-8.75
3.7175,16044,2200,6708,-66.25,18.16,-9.15
3.7298,18064,2016,4772,-74.00,22.90,-9.61
3.7424,16676,2228,6896,-66.51,17.90,-10.14
3.7573,14464,2528,3508,-73.36,35.78,-10.67
3.7699,14052,3584,3852,-69.47,42.94,-10.96
3.7827,15400,3648,2284,-74.39,57.95,-11.05
3.7988,16212,3460,2856,-74.53,50.46,-11.02
3.8114,17564,3332,2068,-77.41,58.17,-11.02
3.8237,17356,3276,2672,-76.31,50.80,-11.06
3.8364,17684,2928,1076,-80.00,69.82,-11.06
3.8487,15928,3616,484,-77.10,82.38,-11.06
3.8614,16324,3800,-168,-76.88,92.53,-11.04
3.8742,16860,3708,-968,-77.19,104.63,-11.04
3.8866,15576,4364,-1388,-73.62,107.64,-11.01
3.9005,15972,4492,-2304,-72.46,117.15,-11.01
3.9132,16740,4020,-1064,-76.05,104.82,-11.01
3.9256,16444,3416,28,-78.26,89.53,-11.04
3.9383,15424,3604,-436,-76.76,96.90,-11.01
3.9507,15700,3792,-776,-76.15,101.57,-10.94
3.9673,16124,3448,976,-77.47,74.20,-10.87
3.9797,16692,2756,1568,-79.24,60.36,-10.90
3.9924,15528,3024,1816,-77.20,59.01,-10.90
4.0065,14736,3440,200,-76.84,86.67,-10.67
4.0191,16356,3532,700,-77.58,78.79,-10.32
4.0318,17204,2716,1852,-79.18,55.71,-10.06
4.0442,17872,1856,6116,-70.32,16.88,-10.03
4.0570,17660,1444,6028,-70.66,13.47,-10.21
4.0694,16408,2032,4372,-73.63,24.93,-10.42
4.0822,15156,2980,2860,-74.76,46.18,-10.64
4.0948,14728,3004,4280,-70.45,35.06,-10.80
4.1072,15948,2596,4936,-70.73,27.74,-11.00
4.1238,14696,2752,6508,-64.32,22.92,-11.26
4.1364,15480,2820,4308,-71.60,33.21,-11.44
4.1492,16388,2332,1724,-79.96,53.53,-11.71
4.1616,16256,3252,3772,-72.97,40.77,-11.99
4.1744,15240,3820,872,-75.58,77.14,-12.22
4.1868,14372,4684,-224,-71.93,92.74,-12.36
4.1994,15192,4728,-732,-72.52,98.80,-12.38
4.2121,15984,4292,292,-74.94,86.11,-12.35
4.2260,16864,3856,-716,-76.91,100.52,-12.36
4.2387,15436,4156,-868,-74.62,101.80,-12.40
4.2510,14300,4612,-1812,-70.89,111.45,-12.32
4.2636,14448,4944,-3176,-67.87,122.72,-12.13
4.2762,14704,4684,-2104,-70.75,114.19,-11.77
4.2908,14532,4436,-2260,-71.09,117.00,-11.25
4.3036,15944,3660,-544,-76.93,98.45,-10.64
4.3160,16332,3204,636,-78.69,78.77,-9.98
